Time,Aruco,x,y,z,ms,Lable
00:00.0,,,,,0,DO_NOT_USE
00:00.0,,,,,33.33333333,DO_NOT_USE
00:00.1,,,,,66.66666667,DO_NOT_USE
00:00.1,,,,,100,DO_NOT_USE
00:00.1,,,,,133.3333333,DO_NOT_USE
00:00.2,,,,,166.6666667,DO_NOT_USE
00:00.2,,,,,200,DO_NOT_USE
00:00.2,,,,,233.3333333,DO_NOT_USE
00:00.3,,,,,266.6666667,DO_NOT_USE
00:00.3,,,,,300,DO_NOT_USE
00:00.3,,,,,333.3333333,DO_NOT_USE
00:00.4,,,,,366.6666667,DO_NOT_USE
00:00.4,,,,,400,DO_NOT_USE
00:00.4,,,,,433.3333333,DO_NOT_USE
00:00.5,,,,,466.6666667,DO_NOT_USE
00:00.5,,,,,500,DO_NOT_USE
00:00.5,,,,,533.3333333,DO_NOT_USE
00:00.6,,,,,566.6666667,DO_NOT_USE
00:00.6,,,,,600,DO_NOT_USE
00:00.6,,,,,633.3333333,DO_NOT_USE
00:00.7,,,,,666.6666667,DO_NOT_USE
00:00.7,,,,,700,DO_NOT_USE
00:00.7,,,,,733.3333333,DO_NOT_USE
00:00.8,,,,,766.6666667,DO_NOT_USE
00:00.8,,,,,800,DO_NOT_USE
00:00.8,,,,,833.3333333,DO_NOT_USE
00:00.9,,,,,866.6666667,DO_NOT_USE
00:00.9,,,,,900,DO_NOT_USE
00:00.9,,,,,933.3333333,DO_NOT_USE
00:01.0,,,,,966.6666667,DO_NOT_USE
00:01.0,,,,,1000,DO_NOT_USE
00:01.0,,,,,1033.333333,DO_NOT_USE
00:01.1,,,,,1066.666667,DO_NOT_USE
00:01.1,,,,,1100,DO_NOT_USE
00:01.1,,,,,1133.333333,DO_NOT_USE
00:01.2,,,,,1166.666667,DO_NOT_USE
00:01.2,,,,,1200,DO_NOT_USE
00:01.2,,,,,1233.333333,DO_NOT_USE
00:01.3,,,,,1266.666667,DO_NOT_USE
00:01.3,,,,,1300,DO_NOT_USE
00:01.3,,,,,1333.333333,DO_NOT_USE
00:01.4,,,,,1366.666667,DO_NOT_USE
00:01.4,,,,,1400,DO_NOT_USE
00:01.4,,,,,1433.333333,DO_NOT_USE
00:01.5,,,,,1466.666667,DO_NOT_USE
00:01.5,,,,,1500,DO_NOT_USE
00:01.5,,,,,1533.333333,DO_NOT_USE
00:01.6,,,,,1566.666667,DO_NOT_USE
00:01.6,,,,,1600,DO_NOT_USE
00:01.6,,,,,1633.333333,DO_NOT_USE
00:01.7,,,,,1666.666667,DO_NOT_USE
00:01.7,,,,,1700,DO_NOT_USE
00:01.7,,,,,1733.333333,DO_NOT_USE
00:01.8,,,,,1766.666667,DO_NOT_USE
00:01.8,,,,,1800,DO_NOT_USE
00:01.8,,,,,1833.333333,DO_NOT_USE
00:01.9,,,,,1866.666667,DO_NOT_USE
00:01.9,,,,,1900,DO_NOT_USE
00:01.9,,,,,1933.333333,DO_NOT_USE
00:02.0,,,,,1966.666667,DO_NOT_USE
00:02.0,,,,,2000,DO_NOT_USE
00:02.0,,,,,2033.333333,DO_NOT_USE
00:02.1,,,,,2066.666667,DO_NOT_USE
00:02.1,,,,,2100,DO_NOT_USE
00:02.1,,,,,2133.333333,DO_NOT_USE
00:02.2,,,,,2166.666667,DO_NOT_USE
00:02.2,,,,,2200,DO_NOT_USE
00:02.2,,,,,2233.333333,DO_NOT_USE
00:02.3,,,,,2266.666667,DO_NOT_USE
00:02.3,,,,,2300,DO_NOT_USE
00:02.3,,,,,2333.333333,DO_NOT_USE
00:02.4,,,,,2366.666667,DO_NOT_USE
00:02.4,,,,,2400,DO_NOT_USE
00:02.4,,,,,2433.333333,DO_NOT_USE
00:02.5,,,,,2466.666667,DO_NOT_USE
00:02.5,,,,,2500,DO_NOT_USE
00:02.5,,,,,2533.333333,DO_NOT_USE
00:02.6,,,,,2566.666667,DO_NOT_USE
00:02.6,,,,,2600,DO_NOT_USE
00:02.6,,,,,2633.333333,DO_NOT_USE
00:02.7,,,,,2666.666667,DO_NOT_USE
00:02.7,,,,,2700,DO_NOT_USE
00:02.7,,,,,2733.333333,DO_NOT_USE
00:02.8,,,,,2766.666667,DO_NOT_USE
00:02.8,,,,,2800,DO_NOT_USE
00:02.8,,,,,2833.333333,DO_NOT_USE
00:02.9,,,,,2866.666667,DO_NOT_USE
00:02.9,,,,,2900,DO_NOT_USE
00:02.9,,,,,2933.333333,DO_NOT_USE
00:03.0,,,,,2966.666667,DO_NOT_USE
00:03.0,,,,,3000,DO_NOT_USE
00:03.0,,,,,3033.333333,DO_NOT_USE
00:03.1,,,,,3066.666667,DO_NOT_USE
00:03.1,,,,,3100,DO_NOT_USE
00:03.1,,,,,3133.333333,DO_NOT_USE
00:03.2,,,,,3166.666667,DO_NOT_USE
00:03.2,,,,,3200,DO_NOT_USE
00:03.2,,,,,3233.333333,DO_NOT_USE
00:03.3,,,,,3266.666667,DO_NOT_USE
00:03.3,,,,,3300,DO_NOT_USE
00:03.3,,,,,3333.333333,DO_NOT_USE
00:03.4,,,,,3366.666667,DO_NOT_USE
00:03.4,,,,,3400,DO_NOT_USE
00:03.4,,,,,3433.333333,DO_NOT_USE
00:03.5,,,,,3466.666667,DO_NOT_USE
00:03.5,,,,,3500,DO_NOT_USE
00:03.5,,,,,3533.333333,DO_NOT_USE
00:03.6,,,,,3566.666667,DO_NOT_USE
00:03.6,,,,,3600,DO_NOT_USE
00:03.6,,,,,3633.333333,DO_NOT_USE
00:03.7,,,,,3666.666667,DO_NOT_USE
00:03.7,,,,,3700,DO_NOT_USE
00:03.7,,,,,3733.333333,DO_NOT_USE
00:03.8,,,,,3766.666667,DO_NOT_USE
00:03.8,,,,,3800,DO_NOT_USE
00:03.8,,,,,3833.333333,DO_NOT_USE
00:03.9,,,,,3866.666667,DO_NOT_USE
00:03.9,,,,,3900,DO_NOT_USE
00:03.9,,,,,3933.333333,DO_NOT_USE
00:04.0,,,,,3966.666667,DO_NOT_USE
00:04.0,,,,,4000,DO_NOT_USE
00:04.0,,,,,4033.333333,DO_NOT_USE
00:04.1,,,,,4066.666667,DO_NOT_USE
00:04.1,,,,,4100,DO_NOT_USE
00:04.1,,,,,4133.333333,DO_NOT_USE
00:04.2,,,,,4166.666667,DO_NOT_USE
00:04.2,,,,,4200,DO_NOT_USE
00:04.2,,,,,4233.333333,DO_NOT_USE
00:04.3,,,,,4266.666667,DO_NOT_USE
00:04.3,,,,,4300,DO_NOT_USE
00:04.3,,,,,4333.333333,DO_NOT_USE
00:04.4,,,,,4366.666667,DO_NOT_USE
00:04.4,,,,,4400,DO_NOT_USE
00:04.4,,,,,4433.333333,DO_NOT_USE
00:04.5,,,,,4466.666667,DO_NOT_USE
00:04.5,,,,,4500,DO_NOT_USE
00:04.5,,,,,4533.333333,DO_NOT_USE
00:04.6,,,,,4566.666667,DO_NOT_USE
00:04.6,,,,,4600,DO_NOT_USE
00:04.6,,,,,4633.333333,DO_NOT_USE
00:04.7,,,,,4666.666667,DO_NOT_USE
00:04.7,,,,,4700,DO_NOT_USE
00:04.7,,,,,4733.333333,DO_NOT_USE
00:04.8,,,,,4766.666667,DO_NOT_USE
00:04.8,,,,,4800,DO_NOT_USE
00:04.8,,,,,4833.333333,DO_NOT_USE
00:04.9,,,,,4866.666667,DO_NOT_USE
00:04.9,,,,,4900,DO_NOT_USE
00:04.9,,,,,4933.333333,DO_NOT_USE
00:05.0,,,,,4966.666667,DO_NOT_USE
00:05.0,,,,,5000,DO_NOT_USE
00:05.0,,,,,5033.333333,DO_NOT_USE
00:05.1,,,,,5066.666667,DO_NOT_USE
00:05.1,,,,,5100,DO_NOT_USE
00:05.1,,,,,5133.333333,DO_NOT_USE
00:05.2,,,,,5166.666667,DO_NOT_USE
00:05.2,,,,,5200,DO_NOT_USE
00:05.2,,,,,5233.333333,DO_NOT_USE
00:05.3,,,,,5266.666667,DO_NOT_USE
00:05.3,,,,,5300,DO_NOT_USE
00:05.3,,,,,5333.333333,DO_NOT_USE
00:05.4,,,,,5366.666667,DO_NOT_USE
00:05.4,,,,,5400,DO_NOT_USE
00:05.4,,,,,5433.333333,DO_NOT_USE
00:05.5,,,,,5466.666667,DO_NOT_USE
00:05.5,,,,,5500,DO_NOT_USE
00:05.5,,,,,5533.333333,DO_NOT_USE
00:05.6,,,,,5566.666667,DO_NOT_USE
00:05.6,,,,,5600,DO_NOT_USE
00:05.6,,,,,5633.333333,DO_NOT_USE
00:05.7,,,,,5666.666667,DO_NOT_USE
00:05.7,,,,,5700,DO_NOT_USE
00:05.7,,,,,5733.333333,DO_NOT_USE
00:05.8,,,,,5766.666667,DO_NOT_USE
00:05.8,,,,,5800,DO_NOT_USE
00:05.8,,,,,5833.333333,DO_NOT_USE
00:05.9,,,,,5866.666667,DO_NOT_USE
00:05.9,,,,,5900,DO_NOT_USE
00:05.9,,,,,5933.333333,DO_NOT_USE
00:06.0,,,,,5966.666667,DO_NOT_USE
00:06.0,,,,,6000,DO_NOT_USE
00:06.0,,,,,6033.333333,DO_NOT_USE
00:06.1,,,,,6066.666667,DO_NOT_USE
00:06.1,,,,,6100,DO_NOT_USE
00:06.1,,,,,6133.333333,DO_NOT_USE
00:06.2,,,,,6166.666667,DO_NOT_USE
00:06.2,,,,,6200,DO_NOT_USE
00:06.2,,,,,6233.333333,DO_NOT_USE
00:06.3,,,,,6266.666667,DO_NOT_USE
00:06.3,,,,,6300,DO_NOT_USE
