Time:,Aruco ID,x,y,z,ms,Lable:
00:00:0.033,,,,,33.3333333333333,DO_NOT_USE
00:00:0.067,,,,,66.6666666666667,DO_NOT_USE
00:00:0.100,,,,,100,DO_NOT_USE
00:00:0.133,,,,,133.333333333333,DO_NOT_USE
00:00:0.167,,,,,166.666666666667,DO_NOT_USE
00:00:0.200,,,,,200,DO_NOT_USE
00:00:0.233,,,,,233.333333333333,DO_NOT_USE
00:00:0.267,,,,,266.666666666667,DO_NOT_USE
00:00:0.300,,,,,300,DO_NOT_USE
00:00:0.333,,,,,333.333333333333,DO_NOT_USE
00:00:0.367,,,,,366.666666666667,DO_NOT_USE
00:00:0.400,,,,,400,DO_NOT_USE
00:00:0.433,,,,,433.333333333333,DO_NOT_USE
00:00:0.467,,,,,466.666666666667,DO_NOT_USE
00:00:0.500,,,,,500,DO_NOT_USE
00:00:0.533,,,,,533.333333333333,DO_NOT_USE
00:00:0.567,,,,,566.666666666667,DO_NOT_USE
00:00:0.600,,,,,600,DO_NOT_USE
00:00:0.633,,,,,633.333333333333,DO_NOT_USE
00:00:0.667,,,,,666.666666666667,DO_NOT_USE
00:00:0.700,,,,,700,DO_NOT_USE
00:00:0.733,,,,,733.333333333333,DO_NOT_USE
00:00:0.767,,,,,766.666666666667,DO_NOT_USE
00:00:0.800,,,,,800,DO_NOT_USE
00:00:0.833,,,,,833.333333333333,DO_NOT_USE
00:00:0.867,,,,,866.666666666667,DO_NOT_USE
00:00:0.900,,,,,900,DO_NOT_USE
00:00:0.933,,,,,933.333333333333,DO_NOT_USE
00:00:0.967,,,,,966.666666666666,DO_NOT_USE
00:00:1.000,,,,,1000,DO_NOT_USE
00:00:1.033,,,,,1033.33333333333,DO_NOT_USE
00:00:1.067,,,,,1066.66666666667,DO_NOT_USE
00:00:1.100,,,,,1100,DO_NOT_USE
00:00:1.133,,,,,1133.33333333333,DO_NOT_USE
00:00:1.167,,,,,1166.66666666667,DO_NOT_USE
00:00:1.200,,,,,1200,DO_NOT_USE
00:00:1.233,,,,,1233.33333333333,DO_NOT_USE
