Number;Start time in milliseconds;End time in milliseconds;"Text"
1;0;89110;"DO_NOT_USE"
2;89110;331608;"walking"
3;331608;345609;"DO_NOT_USE"
4;345609;577109;"walking"
5;577109;617109;"DO_NOT_USE"
6;617109;729109;"standing"
7;729109;735111;"DO_NOT_USE"
8;735111;845113;"standing"
9;845113;871609;"DO_NOT_USE"
10;871609;989617;"standing"
11;989617;995114;"DO_NOT_USE"
12;995114;1095609;"standing"
13;1095609;1134113;"DO_NOT_USE"
14;1134113;1217613;"sitting"
15;1217613;1227613;"DO_NOT_USE"
16;1227613;1320112;"sitting"
17;1320112;1344112;"DO_NOT_USE"
18;1344112;1470115;"sitting"
19;1470115;1476115;"DO_NOT_USE"
20;1476115;1566114;"sitting"
21;1566114;1599614;"DO_NOT_USE"
22;1599614;1698618;"laying down"
23;1698618;1709621;"DO_NOT_USE"
24;1709621;1810116;"laying down"
25;1810116;1839115;"DO_NOT_USE"
26;1839115;1958614;"laying down"
27;1958614;1966114;"DO_NOT_USE"
28;1966114;2059116;"laying down"
29;2059116;2087089;"DO_NOT_USE"
